Sample,X(ms) [08.05.2023 12:46:06 896 UTC],"LSim_PT2aper_DB.input","LSim_PT2aper_DB.output"
20182,1683549966984.524914,1,0.984144747257233
20183,1683549966984.772391,1,0.984144747257233
20184,1683549966985.091627,1,0.984144747257233
20185,1683549966985.275190,1,0.984917640686035
20186,1683549966985.526394,1,0.984917640686035
20187,1683549966985.772447,1,0.984917640686035
20188,1683549966986.063831,1,0.984917640686035
20189,1683549966986.276914,1,0.98565286397934
20190,1683549966986.543431,1,0.98565286397934
20191,1683549966986.774735,1,0.98565286397934
20192,1683549966987.070822,1,0.98565286397934
20193,1683549966987.276967,1,0.986352264881134
20194,1683549966987.527462,1,0.986352264881134
20195,1683549966987.773316,1,0.986352264881134
20196,1683549966988.053752,1,0.986352264881134
20197,1683549966988.276275,1,0.987017571926117
20198,1683549966988.526590,1,0.987017571926117
20199,1683549966988.773421,1,0.987017571926117
20200,1683549966989.067464,1,0.987017571926117
20201,1683549966989.276281,1,0.987650454044342
20202,1683549966989.526382,1,0.987650454044342
20203,1683549966989.773325,1,0.987650454044342
20204,1683549966990.081597,1,0.987650454044342
20205,1683549966990.276246,1,0.988252460956573
20206,1683549966990.526475,1,0.988252460956573
20207,1683549966990.773281,1,0.988252460956573
20208,1683549966991.025147,1,0.988252460956573
20209,1683549966991.276356,1,0.988825142383575
20210,1683549966991.526495,1,0.988825142383575
20211,1683549966991.776271,1,0.988825142383575
20212,1683549966992.023545,1,0.988825142383575
20213,1683549966992.275258,1,0.989369869232178
20214,1683549966992.526544,1,0.989369869232178
20215,1683549966992.775711,1,0.989369869232178
20216,1683549966993.023618,1,0.989369869232178
20217,1683549966993.275352,1,0.989887952804565
20218,1683549966993.526430,1,0.989887952804565
20219,1683549966993.775814,1,0.989887952804565
20220,1683549966994.023557,1,0.989887952804565
20221,1683549966994.275323,1,0.990380764007568
20222,1683549966994.526534,1,0.990380764007568
20223,1683549966994.775855,1,0.990380764007568
20224,1683549966995.050077,1,0.990380764007568
20225,1683549966995.296256,1,0.990380764007568
20226,1683549966995.539828,1,0.990849554538727
20227,1683549966995.774928,1,0.990849554538727
20228,1683549966996.023417,1,0.990849554538727
20229,1683549966996.277978,1,0.990849554538727
20230,1683549966996.526758,1,0.991295456886292
20231,1683549966996.775788,1,0.991295456886292
20232,1683549966997.025358,1,0.991295456886292
20233,1683549966997.286108,1,0.991295456886292
20234,1683549966997.527648,1,0.991719663143158
20235,1683549966997.777790,1,0.991719663143158
20236,1683549966998.023298,1,0.991719663143158
20237,1683549966998.297140,1,0.991719663143158
20238,1683549966998.527725,1,0.992123186588287
20239,1683549966998.799439,1,0.992123186588287
20240,1683549966999.023200,1,0.992123186588287
